base-shuffle,base-fromTop,solo_pochi_dati-shuffle,solo_pochi_dati-fromTop,meno_tempo-shuffle,meno_tempo-fromTop,senza_distanza-shuffle,senza_distanza-fromTop,senza_evja-shuffle,senza_evja-fromTop,sensore
0.054456454,0.36810544,0.060344074,0.55673075,0.053794693,0.6196003,0.054145705,0.46325618,0.060256086,0.5528234,1
0.05462905,0.38248473,0.06555331,0.40828764,0.053563464,0.46733186,0.056626666,0.48529154,0.061515667,0.51836294,2
0.05780419,0.47086534,0.06414088,0.46691942,0.05586158,0.51304793,0.055025216,0.5030841,0.05853223,0.5634682,3
