base-shuffle,base-fromTop,meno_tempo-shuffle,meno_tempo-fromTop,senza_distanza-shuffle,senza_distanza-fromTop,senza_evja-shuffle,senza_evja-fromTop,sensore
0.2059042,4.724183,0.46581757,3.6064076,0.5976044,3.5710537,0.732278,4.396791,1
0.7337866,2.8590248,0.67233354,2.8921626,0.66308254,3.1056955,0.7134585,2.8936024,2
0.5163673,1.6070017,0.4271178,1.7371404,0.473214,2.0332103,0.55203116,1.9105465,3
0.30541202,1.0583413,0.2682658,1.0585926,0.18465927,1.0144745,0.25102514,1.4811436,4
0.46417534,1.3922924,0.34500104,0.7822016,0.33749405,0.92094815,0.3677628,1.3040115,5
0.37304643,1.5704921,0.29561317,1.0623308,0.34795296,2.5850747,0.40398312,1.3973142,6
0.3369523,0.651324,0.28594017,0.5383563,0.32947546,0.78728145,0.33089995,0.5409517,7
20.617367,64.02842,27.754858,52.948902,14.240716,197.32442,14.479741,77.346664,8
