Sensore,R2_RNN,RMSE_RNN,R2_EVJA,RMSE_EVJA
1,0.07778599134878772,6.676944065034469,0.9744723439853471,1.1108805171414637
2,0.19588551227731543,6.780025645220472,0.9762950407200017,1.1641045854996486
3,0.19254478981531842,7.094578639641468,0.9750589478398513,1.2468803238707693
4,0.15041379456866522,6.588631432149217,0.9543004730406177,1.528084392700532
5,0.041127932230936026,7.132863426483628,0.9647092832091282,1.368402359940814
6,0.12475541742574059,6.774706023955609,0.9659869375277105,1.3355144988488572
7,0.06846466884466196,6.369481369192114,0.9532744503381023,1.4265323192777388
