target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
15.883,15.883,10.044503,15.9,15.831,15.831002,9.258645,15.9,16.007,16.007,10.002421,15.9,15.649,15.649,10.105981,15.9,16.75,16.749998,10.824475,15.9,17.363,17.363,10.209306,15.9,15.864,15.864,10.638592,15.9
5.387,5.387,5.351309,4.9,5.595,5.595,5.136161,4.9,5.541,5.541,5.8095875,4.9,5.744,5.744,6.0855255,4.9,6.791,6.791,6.37585,4.9,6.794,6.7940006,5.8383074,4.9,7.036,7.036,6.194658,4.9
4.499,4.499,3.6453743,3.6,4.467,4.467,4.260682,3.6,4.83,4.8299994,4.617814,3.6,4.712,4.712,5.6513777,3.6,5.743,5.743,5.3319197,3.6,5.896,5.8959994,4.4430294,3.6,5.827,5.827,4.768932,3.6
3.325,3.3250003,3.543836,2.7,3.479,3.4790003,3.5910764,2.7,3.409,3.409,4.351007,2.7,3.671,3.6710002,5.11979,2.7,4.693,4.693,4.7286735,2.7,4.833,4.833,4.005212,2.7,5.065,5.065,4.2776675,2.7
2.772,2.772,3.0365994,1.9,2.745,2.7449996,3.2432477,1.9,2.815,2.815,4.002132,1.9,3.079,3.0789998,4.6522174,1.9,3.929,3.9290001,4.5527015,1.9,4.172,4.172,3.6698146,1.9,4.255,4.255,3.9366474,1.9
2.653,2.653,5.777423,1.8,2.642,2.6419997,5.659968,1.8,2.878,2.878,6.5150657,1.8,3.049,3.049,6.987771,1.8,3.577,3.577,6.9854493,1.8,3.981,3.9810002,6.4194856,1.8,3.651,3.651,6.49908,1.8
9.313,9.313,6.25887,7.7,9.142,9.142001,5.7396607,7.7,9.444,9.444001,6.507844,7.7,9.311,9.311001,6.767381,7.7,9.022,9.022,6.8919015,7.7,8.878,8.878,6.4431615,7.7,9.237,9.237001,6.693901,7.7
7.951,7.951,5.6849566,6.3,7.867,7.867,4.821591,6.3,7.776,7.776,5.931106,6.3,7.779,7.779,6.257002,6.3,7.001,7.001,5.907715,6.3,6.943,6.943,5.6690845,6.3,7.516,7.516,5.795561,6.3
6.609,6.609,5.5082746,5.6,6.667,6.667,4.635466,5.6,6.45,6.45,5.710803,5.6,6.404,6.404,6.03394,5.6,7.237,7.2370005,5.796603,5.6,7.241,7.241,5.3757033,5.6,7.248,7.248,5.63475,5.6
6.853,6.853,5.917219,5.9,6.966,6.9659996,5.5968375,5.9,6.675,6.675,6.3721824,5.9,6.702,6.702,6.9999022,5.9,7.555,7.5550003,6.7211394,5.9,7.571,7.571,6.0585237,5.9,7.578,7.578,6.371421,5.9
6.913,6.9130006,6.115379,6.0,7.165,7.165,5.3893156,6.0,6.92,6.92,6.566284,6.0,6.92,6.92,6.995243,6.0,7.539,7.5390005,6.5805426,6.0,7.49,7.49,5.9384446,6.0,7.693,7.693,6.397716,6.0
7.381,7.3810005,6.4690633,6.3,7.549,7.549,5.72459,6.3,7.308,7.3079996,6.798251,6.3,7.239,7.2390003,7.117784,6.3,7.94,7.94,6.8028026,6.3,7.746,7.746,6.424433,6.3,7.934,7.934001,6.828143,6.3
7.517,7.517,6.385245,6.5,7.696,7.696,5.292483,6.5,7.475,7.4750004,6.5406833,6.5,7.401,7.4009995,6.79983,6.5,8.029,8.029001,6.3980775,6.5,7.912,7.912,6.126905,6.5,8.059,8.059,6.532247,6.5
7.478,7.478,6.7473345,6.4,7.531,7.531,5.5644813,6.4,7.3,7.3000007,6.89723,6.4,7.337,7.3370004,6.9056077,6.4,7.984,7.9840007,6.6190968,6.4,7.887,7.887,6.534878,6.4,7.953,7.953,6.6287503,6.4
10.534,10.534,9.958057,9.9,11.069,11.069001,8.806176,9.9,10.744,10.744,10.19905,9.9,10.602,10.602001,9.945289,9.9,12.261,12.261,9.126163,9.9,12.574,12.574,9.567619,9.9,11.877,11.877,9.12434,9.9
17.776,17.775997,10.699927,15.6,17.416,17.416,9.052752,15.6,18.461,18.461,10.44211,15.6,18.461,18.460999,10.194613,15.6,16.257,16.257,8.859148,15.6,17.021,17.021002,9.691974,15.6,17.706,17.706,9.842922,15.6
13.166,13.166,10.349474,11.8,12.805,12.805001,8.661535,11.8,13.243,13.243001,10.033058,11.8,13.201,13.201,10.067067,11.8,13.524,13.524,9.304797,11.8,13.526,13.526,9.669314,11.8,14.15,14.15,10.05234,11.8
7.512,7.5120006,7.1314874,6.6,7.495,7.495,6.4498773,6.6,7.536,7.5360003,7.3661485,6.6,7.517,7.5169997,7.4795146,6.6,7.865,7.865,7.7226624,6.6,7.843,7.8429995,7.427646,6.6,8.071,8.071001,7.575939,6.6
8.349,8.348999,6.968989,7.3,8.444,8.443999,6.769589,7.3,8.321,8.321001,7.168943,7.3,8.318,8.318,7.701365,7.3,8.629,8.629,7.6827884,7.3,8.77,8.77,7.375573,7.3,8.855,8.8550005,7.6420894,7.3
6.77,6.7699995,4.668755,6.2,6.68,6.6799994,4.5668654,6.2,6.756,6.756,5.022488,6.2,6.821,6.8209996,5.825754,6.2,7.363,7.3630004,5.5622168,6.2,7.414,7.4139996,5.2635975,6.2,7.688,7.688,5.383494,6.2
5.923,5.923,6.1541014,4.7,5.947,5.947,5.5464,4.7,5.931,5.931,6.5150123,4.7,6.005,6.005,6.9193926,4.7,6.349,6.349,6.4834795,4.7,6.385,6.385,6.188343,4.7,6.78,6.78,6.8183575,4.7
7.948,7.9480004,6.9234743,6.7,7.968,7.968,6.068791,6.7,7.873,7.873,7.216707,6.7,7.867,7.867,7.564407,6.7,8.099,8.099001,7.2533417,6.7,8.106,8.106001,6.9800572,6.7,8.442,8.442,7.4943113,6.7
6.832,6.8320003,4.9588656,5.5,6.837,6.837,4.4231415,5.5,6.906,6.905999,5.126442,5.5,6.838,6.8380003,5.364361,5.5,6.9,6.9,5.4777703,5.5,6.908,6.908,5.3758264,5.5,7.113,7.113,5.3668127,5.5
5.362,5.362,7.1151123,3.9,5.412,5.412,6.3238187,3.9,5.383,5.383,7.4251122,3.9,5.427,5.427,7.201534,3.9,6.033,6.033,7.2199445,3.9,6.147,6.147,7.3706107,3.9,6.671,6.671,7.3917007,3.9
11.931,11.931,13.405614,11.6,12.172,12.172001,12.630905,11.6,11.266,11.266,13.666931,11.6,11.505,11.505,12.926169,11.6,14.442,14.442,13.844081,11.6,15.503,15.503,14.091479,11.6,15.346,15.346,13.276954,11.6
20.972,20.971998,14.881556,20.5,20.275,20.275,13.545762,20.5,20.521,20.521,14.42789,20.5,20.667,20.667,13.599654,20.5,21.451,21.451,14.5177765,20.5,22.583,22.583002,14.889024,20.5,22.158,22.158,14.995757,20.5
12.479,12.479,10.319135,12.4,12.574,12.574001,9.157671,12.4,12.354,12.354001,10.00728,12.4,12.311,12.311,10.14222,12.4,12.962,12.962,10.402183,12.4,13.376,13.376,10.4275675,12.4,13.273,13.273,10.784088,12.4
9.731,9.730999,8.737894,8.5,9.703,9.703,7.761567,8.5,9.672,9.672001,8.7516,8.5,9.609,9.609,8.898094,8.5,9.907,9.907,8.844309,8.5,9.891,9.891001,8.966372,8.5,10.127,10.127,9.293128,8.5
8.995,8.995,8.521339,7.8,9.015,9.015001,7.779965,7.8,8.926,8.926,8.645618,7.8,8.869,8.869,9.260638,7.8,9.233,9.233,8.953209,7.8,9.196,9.196,8.56485,7.8,9.601,9.601,9.139097,7.8
8.815,8.815001,7.700631,7.7,8.84,8.84,6.8313036,7.7,8.818,8.817999,7.9798503,7.7,8.77,8.7699995,8.462804,7.7,8.97,8.97,8.290252,7.7,8.991,8.991001,7.6919894,7.7,9.403,9.403001,8.282282,7.7
8.355,8.355,7.261989,7.3,8.371,8.371,6.576713,7.3,8.411,8.411,7.4675827,7.3,8.308,8.308001,7.829815,7.3,8.624,8.624,7.649918,7.3,8.705,8.705,7.4015207,7.3,8.94,8.94,7.871289,7.3
6.021,6.021,5.671575,5.1,6.027,6.027,5.0816855,5.1,6.056,6.056,5.8946166,5.1,6.123,6.123,6.154355,5.1,6.366,6.366,6.053147,5.1,6.364,6.364,6.0108433,5.1,6.996,6.996,6.205096,5.1
