,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
64,64,64,64,64,64,64,22.052,22.051998,17.839895,21.2,24.175,24.175,18.5121,23.3,14.692,14.692,13.856193,13.9,15.484,15.484,14.571789,15.4,25.148,25.148,14.270897,23.5,14.809,14.809,13.924837,14.0,22.718,22.718002,15.422128,21.0
65,65,65,65,65,65,65,13.846,13.846,18.702436,13.2,23.165,23.165,8.611974,22.4,12.984,12.983999,15.3394575,12.3,28.114,28.114,17.199574,30.3,15.514,15.514,16.545967,14.9,16.503,16.503,20.048367,15.8,15.936,15.936,18.138544,15.2
66,66,66,66,66,66,66,15.818,15.818001,14.458569,15.0,15.121,15.121001,18.702204,13.8,9.714,9.714001,13.469138,8.5,18.233,18.233,23.008995,18.1,32.542,32.542,26.168379,34.0,2.961,2.9609997,16.279718,0.6,19.6,19.6,19.697433,18.9
67,67,67,67,67,67,67,20.423,20.422998,19.250738,19.6,14.231,14.231001,17.577925,13.6,15.933,15.933,18.979073,15.2,12.711,12.711001,14.805218,12.3,23.139,23.139,20.153038,21.6,6.269,6.269,18.325272,4.7,15.0,15.0,16.54979,14.1
68,68,68,68,68,68,68,24.795,24.795,21.77692,24.9,18.433,18.433,16.578402,17.6,14.536,14.536001,22.84034,13.7,7.189,7.1889997,12.690173,6.1,9.898,9.898,10.973553,8.7,9.583,9.583,10.42255,8.5,24.356,24.356,18.66218,27.6
69,69,69,69,69,69,69,22.136,22.136,14.028051,21.6,18.033,18.033,18.30119,17.1,14.888,14.8880005,14.386181,14.2,19.691,19.691,23.393114,18.8,18.133,18.133,13.650601,17.1,15.758,15.758,17.805676,14.7,13.308,13.308001,9.98487,12.6
70,70,70,70,70,70,70,19.279,19.278997,19.147211,18.6,16.872,16.872002,17.731253,15.9,2.071,2.0710003,16.047487,1.1,15.272,15.272,13.037644,14.4,12.246,12.246,15.981779,11.7,18.442,18.442001,15.132905,17.4,13.661,13.660999,12.176432,12.8
71,71,71,71,71,71,71,14.3,14.299999,18.070635,13.2,8.996,8.995999,13.858027,7.2,10.692,10.692001,14.250413,9.4,6.033,6.0330005,19.887144,4.8,17.006,17.005999,15.697904,16.0,20.434,20.434,19.13164,20.1,19.731,19.731,20.978357,19.0
72,72,72,72,72,72,72,25.305,25.305,14.456192,25.6,16.613,16.613,17.808477,14.2,15.409,15.409,14.513005,14.8,14.406,14.406,15.131944,13.5,20.554,20.554,20.522293,20.1,26.472,26.472,21.195446,29.2,13.518,13.518,14.976252,12.6
73,73,73,73,73,73,73,0.931,0.93099993,13.945888,0.1,24.241,24.241001,17.55123,24.4,5.008,5.008,14.911017,4.2,20.875,20.875,16.547323,20.3,15.864,15.864,11.997382,14.7,13.751,13.751,18.824123,13.2,15.721,15.721,19.398058,15.0
